Date;AC.PA;ACA.PA;ADP.PA;AI.PA;AIR.PA;ATO.PA;BN.PA;BNP.PA;CA.PA;CAP.PA;CDI.PA;CNP.PA;CS.PA;DG.PA;DSY.PA;EDF.PA;EI.PA;EN.PA;ENGI.PA;FP.PA;FR.PA;GFC.PA;GLE.PA;HO.PA;HSB.PA;IAM.PA;ILD.PA;KER.PA;KN.PA;LI.PA;LR.PA;MC.PA;ML.PA;OR.PA;ORA.PA;PUB.PA;RI.PA;RMS.PA;RNO.PA;SAF.PA;SAN.PA;SGO.PA;SLB.PA;SOLB.BR;STM.PA;SU.PA;SW.PA;UG.PA;VIE.PA;VIV.PA
2010-01-18;21.470728;9.870869;47.003063;48.296627;13.077444999999999;32.865809999999996;34.816307;41.934082000000004;29.106194;28.161834999999996;64.663155;8.841061999999999;10.817972;30.073090000000004;18.795532;25.101851999999997;37.80175;23.473467000000003;16.285749;28.604589;6.740775;48.633010999999996;39.053776;27.50132;4.870888;0.00021400000000000002;82.74704;74.22917199999999;2.535609;19.398139999999998;17.471422;67.96418;45.840621999999996;68.09405500000001;9.872542999999999;25.507626000000002;51.706532;89.47670699999999;32.396233;12.448369;21.282768;29.227308;40.020386;52.439201000000004;4.004174;30.14875;32.766045;17.150801;16.654943;11.202166
2010-01-19;21.350163000000002;9.917356;47.003063;49.110626;13.161903;32.743145;35.339096000000005;42.105270000000004;29.398046;28.807848;65.09880799999999;8.771804;10.850381;30.487771999999996;18.83136;25.399476999999997;37.981071;23.628611;16.41221;28.938543;6.799892;48.57354;38.743793;27.670927000000002;4.883111;0.000218;82.961876;75.374702;2.557292;19.466433;17.603657000000002;69.04911;45.528023;68.644012;9.985126;25.281591;51.646361999999996;89.745621;31.670446000000002;12.444119;21.665834;29.317656;39.745228000000004;52.46818199999999;4.002229;30.388052000000002;32.536770000000004;17.051657000000002;16.773741;11.312999000000001
2010-01-20;21.367352;9.770144;46.303242;47.883579;13.170794;32.852184;34.844669;40.94416;28.435728000000005;28.957884000000004;63.672291;8.743835;10.578147999999999;29.790535;18.914209;25.801432000000002;37.922783;23.023542000000003;16.148041;28.508253000000003;6.513494000000001;48.361931;37.842026000000004;27.410309;4.809772;0.00022;83.733292;73.84182;2.498536;19.155704;17.59539;67.190414;44.552193;67.33783000000001;9.820582;25.486301;50.803921;90.00528;30.449814;12.495118;21.282768;28.968031;39.15443;52.72897;4.039198000000001;29.514395;32.675976;16.751026;16.529543;11.016568
2010-01-21;21.310005;9.421488;45.685764;47.111462;12.80185;32.852184;34.771729;39.87236;28.025558;28.532771999999998;62.348278;8.663922;10.370735;29.408886;18.849272;25.516077;37.694153;22.939766;16.024384;28.161448999999998;6.376867;47.859413;36.046543;27.215878999999997;4.858665;0.000217;81.399498;72.679802;2.445376;19.070345;17.884651;65.97090899999999;43.888962;66.985497;9.771506;25.119532;50.743752;88.36393699999999;29.773514000000002;12.422869;20.760745999999997;28.025215000000003;39.073502000000005;52.091557;4.0067699999999995;29.233307;32.246071;16.519787;16.549343;10.914093
2010-01-22;20.954014;9.185177000000001;45.216473;47.135426;12.610713;31.666395;34.621777;39.120613;28.139931;28.216016999999997;61.442818;8.564031;10.111466;28.895122999999998;18.562658;25.166285000000002;37.756912;22.914942;15.889494000000001;27.747222999999998;6.31775;46.629551;34.170544;27.215878999999997;4.675319;0.000217;80.891724;72.333656;2.358641;18.797178;17.71936;65.40741700000001;43.705996999999996;66.27224;9.76862;25.179235000000002;50.546040000000005;88.45665699999999;29.443615;12.019115;20.524147;27.942719;38.337025;51.178944;3.9107839999999996;29.183926;32.00452;16.486738;16.367846;10.947353
2010-01-25;20.96265;9.289773;44.854214;46.231613;12.406238;31.802691999999997;34.042248;38.428413;27.784978999999996;27.532496999999996;61.57095699999999;8.533397;10.072576;28.799713;18.388006;24.828773;37.456547;22.601549;15.743355;27.448593;6.298043;47.07917;34.645579999999995;27.137283;4.736433;0.00021600000000000002;79.671127;71.938103;2.329263;18.810839;18.016888;65.43265500000001;42.303246;65.816788;9.713775;25.157913;49.643433;90.589485;28.919897;12.176366;20.152345999999998;27.314175;37.754329999999996;51.859818;3.87641;29.096560999999998;31.914444;16.090260999999998;16.235847;10.814366
2010-01-26;20.925339;9.192923;44.706013;46.81218;12.455134;31.970793;34.228671999999996;39.224815;28.487001;27.757559000000004;62.356827;8.713202;10.056372;28.884121;18.526831;24.65081;37.532757000000004;22.809442999999998;15.855765;27.541704;6.2612559999999995;46.669159;35.036079;26.946993;4.7181;0.000217;78.70440699999999;72.729256;2.34675;18.752789;18.087135;66.811966;42.836918;66.70192;9.733981;24.872173;49.428515999999995;91.442612;28.841553;12.078617;20.437769;27.522377000000002;38.660751;51.678715000000004;3.954885;29.202919;31.984051;16.430531;16.196247;10.825472
2010-01-27;20.942614000000003;8.952738;44.813046;46.267521;12.263996;31.375631;34.00983;38.517727;28.380514;27.294931;61.784512;8.588005;9.910533000000001;28.425409000000002;18.473093;24.389997;37.541729;22.545698;15.709629999999999;27.172434000000003;6.175866;46.616276;34.496628;26.938716999999997;4.644761;0.00021600000000000002;77.044388;72.564438;2.315973;18.336212;17.310260999999997;66.492355;42.524322999999995;66.263649;9.641607;24.654673000000003;50.03027;91.479729;27.921948999999998;11.883113;20.204922;26.732772999999998;38.12661;51.526581;3.781072;29.073771;32.352528;15.776357999999998;16.202847;10.686933
2010-01-28;20.807632;8.797779;45.364662;45.1423;12.246214;30.653253999999997;33.154716;38.011604;27.812586;26.436366999999997;61.545326;8.633288;9.758213;27.819909999999997;18.520115;23.880667000000003;37.344475;21.813414;15.41174;26.469194;6.006394;46.411308;33.663303000000006;27.145557;4.656984;0.000217;78.14782;72.358406;2.3180709999999998;18.244017000000003;16.934221;65.693359;42.318546000000005;65.060577;9.485724000000001;24.919088000000002;49.7122;91.80426800000001;27.992058;11.946863;19.784304000000002;26.22208;37.341576;51.526581;3.838794;28.013987;32.299301;15.399745000000001;15.87615;10.448722
2010-01-29;21.011444;8.863636999999999;46.525543;46.082015999999996;12.624046;30.662340000000004;33.592403000000004;38.815449;27.875689;26.894823;62.527664;8.525406;9.722564;28.484121000000002;18.6679;23.951233;37.752434;22.198175;15.41174;27.005454999999998;6.275712;47.594906;33.981331;27.166242999999998;4.742546;0.000217;78.382164;72.894081;2.357242;18.418160999999998;17.26894;66.500763;42.928444;65.696487;9.598303999999999;25.396738;50.124828;92.407021;28.255976;12.057367999999999;20.12981;27.380957000000002;38.029503000000005;51.932262;3.859548;28.500193;32.483540000000005;15.617802;15.734253;10.44317
